Word           Count          
Ac             2              
Adipiscing     5              
Aenean         2              
Aliquam        1              
Aliquet        2              
Amet           5              
Ante           1              
At             2              
Augue          2              
Commodo        2              
Consectetur    2              
Cursus         1              
Dignissim      2              
Dolor          2              
Dui            1              
Egestas        2              
Eget           3              
Est            1              
Etiam          1              
Facilisis      2              
Feugiat        3              
Fusce          2              
Gravida        2              
Hendrerit      1              
Iaculis        1              
Id             1              
In             4              
Ipsum          1              
Lacus          1              
Leo            4              
Lorem          1              
Mi             1              
Neque          1              
Nibh           5              
Nulla          1              
Pharetra       1              
Platea         1              
Purus          2              
Quis           2              
Sed            5              
Sollicitudin   2              
Tempus         3              
Tincidunt      1              
Tortor         2              
Tristique      1              
Ullamcorper    2              
Varius         2              
Vulputate      1              
a              2              
a.             4              
ac             5              
ac.            2              
adipiscing     10             
aenean         2              
aliqua.        1              
aliquam        5              
aliquet        6              
aliquet.       1              
amet           11             
amet,          1              
amet.          3              
ante           4              
arcu           3              
at             8              
at.            1              
auctor         1              
augue.         1              
bibendum       2              
bibendum.      1              
blandit        4              
commodo        4              
commodo.       4              
congue         2              
congue.        1              
consectetur    6              
cras           4              
cum            1              
curabitur      1              
cursus         5              
diam           7              
diam.          1              
dictum         5              
dictumst       1              
dictumst.      2              
dignissim      3              
dis            1              
do             1              
dolor          1              
dolore         1              
donec          6              
dui            1              
duis           6              
duis.          2              
egestas        4              
egestas.       2              
eget           4              
eiusmod        1              
elementum      8              
elit           8              
elit,          1              
enim           10             
enim.          1              
erat           1              
est            4              
et             10             
et.            1              
etiam          6              
eu             11             
euismod        1              
facilisi       4              
facilisis      6              
faucibus       6              
felis          2              
felis.         2              
fermentum      1              
feugiat        3              
feugiat.       2              
fusce          1              
gravida        2              
gravida.       4              
habitasse      2              
hac            2              
hac.           1              
iaculis        2              
id             6              
id.            1              
imperdiet      1              
in             13             
incididunt     1              
integer        1              
ipsum          6              
justo          1              
labore         1              
lacus          2              
lacus.         2              
laoreet        2              
lectus         2              
leo.           3              
libero         2              
lobortis       6              
lorem          3              
luctus.        1              
maecenas.      1              
magna          8              
magnis         1              
malesuada      1              
massa          7              
mattis         3              
mauris         1              
mauris.        2              
metus          2              
mi             5              
mi.            1              
molestie       3              
mollis         1              
morbi          3              
natoque        1              
nec            5              
neque          2              
netus          1              
nibh           8              
nibh.          5              
nisi           2              
nisl           3              
nisl.          1              
non            6              
non.           2              
nulla          9              
nulla.         2              
nullam         5              
nunc           1              
odio           5              
orci           7              
ornare         1              
parturient.    1              
pellentesque   3              
pellentesque.  1              
penatibus      1              
pharetra       6              
placerat       2              
placerat.      1              
platea         2              
porta          3              
porttitor      3              
porttitor.     3              
potenti        2              
praesent       4              
pretium        5              
pretium.       4              
proin          3              
pulvinar       2              
pulvinar.      2              
purus          4              
purus.         1              
quam           2              
quis           3              
quis.          2              
quisque        3              
rhoncus        1              
risus          1              
risus.         2              
rutrum         1              
sapien         3              
scelerisque    4              
sed            12             
semper         1              
senectus       1              
sit            15             
sit.           4              
sociis         1              
sollicitudin   2              
sollicitudin.  1              
suspendisse    4              
tellus         4              
tempor         8              
tempus         1              
tincidunt      3              
tortor         4              
tristique      5              
turpis         6              
turpis.        2              
ullamcorper    6              
ullamcorper.   1              
ultrices       2              
ultrices.      1              
ultricies      2              
urna           4              
urna.          2              
ut             11             
varius         1              
varius.        3              
vehicula       3              
vel            2              
velit          3              
velit.         1              
venenatis      2              
vestibulum     1              
vestibulum.    2              
vitae          3              
vitae.         2              
viverra        4              
volutpat       4              
volutpat.      1              
vulputate      3   
